title,price,availability,link
The Legend of Zelda: Ocarina of Time,"91,99 €",,https://sandbox.oxylabs.io/products/1
Super Mario Galaxy,"91,99 €",,https://sandbox.oxylabs.io/products/2
Super Mario Galaxy 2,"91,99 €",,https://sandbox.oxylabs.io/products/3
Metroid Prime,"89,99 €",,https://sandbox.oxylabs.io/products/4
Super Mario Odyssey,"89,99 €",,https://sandbox.oxylabs.io/products/5
Halo: Combat Evolved,"87,99 €",,https://sandbox.oxylabs.io/products/6
The House in Fata Morgana - Dreams of the Revenants Edition -,"83,99 €",,https://sandbox.oxylabs.io/products/7
NFL 2K1,"62,99 €",,https://sandbox.oxylabs.io/products/8
Uncharted 2: Among Thieves,"88,99 €",,https://sandbox.oxylabs.io/products/9
Tekken 3,"91,99 €",,https://sandbox.oxylabs.io/products/10
The Legend of Zelda: The Wind Waker,"90,99 €",,https://sandbox.oxylabs.io/products/11
Gran Turismo,"86,99 €",,https://sandbox.oxylabs.io/products/12
Metal Gear Solid 2: Sons of Liberty,"88,99 €",,https://sandbox.oxylabs.io/products/13
Grand Theft Auto Double Pack,"81,99 €",,https://sandbox.oxylabs.io/products/14
Baldur's Gate II: Shadows of Amn,"91,99 €",,https://sandbox.oxylabs.io/products/15
Tetris Effect: Connected,"88,99 €",,https://sandbox.oxylabs.io/products/16
The Legend of Zelda Collector's Edition,"89,99 €",,https://sandbox.oxylabs.io/products/17
Gran Turismo 3: A-Spec,"84,99 €",,https://sandbox.oxylabs.io/products/18
The Legend of Zelda: A Link to the Past,"90,99 €",,https://sandbox.oxylabs.io/products/19
The Legend of Zelda: Majora's Mask,"91,99 €",,https://sandbox.oxylabs.io/products/20
The Last of Us,"92,99 €",,https://sandbox.oxylabs.io/products/21
Persona 5 Royal,"84,99 €",,https://sandbox.oxylabs.io/products/22
The Last of Us Remastered,"92,99 €",,https://sandbox.oxylabs.io/products/23
The Legend of Zelda: Ocarina of Time 3D,"90,99 €",,https://sandbox.oxylabs.io/products/24
Chrono Cross,"88,99 €",,https://sandbox.oxylabs.io/products/25
Gears of War,"84,99 €",,https://sandbox.oxylabs.io/products/26
Sid Meier's Civilization II,"88,99 €",,https://sandbox.oxylabs.io/products/27
Halo 3,"81,99 €",,https://sandbox.oxylabs.io/products/28
Ninja Gaiden Black,"88,99 €",,https://sandbox.oxylabs.io/products/29
Super Mario Advance 4: Super Mario Bros. 3,"89,99 €",,https://sandbox.oxylabs.io/products/30
Jet Grind Radio,"83,99 €",,https://sandbox.oxylabs.io/products/31
Grim Fandango,"91,99 €",,https://sandbox.oxylabs.io/products/32
Resident Evil Code: Veronica,"85,99 €",,https://sandbox.oxylabs.io/products/33
Diablo,"87,99 €",,https://sandbox.oxylabs.io/products/34
Metal Gear Solid 3: Subsistence,"91,99 €",,https://sandbox.oxylabs.io/products/35
Metal Gear Solid 4: Guns of the Patriots,"88,99 €",,https://sandbox.oxylabs.io/products/36
Sid Meier's Civilization IV,"82,99 €",,https://sandbox.oxylabs.io/products/37
Virtua Fighter 4,"81,99 €",,https://sandbox.oxylabs.io/products/38
Super Mario 64,"91,99 €",,https://sandbox.oxylabs.io/products/39
Super Smash Bros. Brawl,"88,99 €",,https://sandbox.oxylabs.io/products/40
Company of Heroes,"87,99 €",,https://sandbox.oxylabs.io/products/41
Gran Turismo 2,"90,99 €",,https://sandbox.oxylabs.io/products/42
The Last of Us Part II,"57,99 €",,https://sandbox.oxylabs.io/products/43
Half-Life: Alyx,"92,99 €",,https://sandbox.oxylabs.io/products/44
Divinity: Original Sin II,"88,99 €",,https://sandbox.oxylabs.io/products/45
Unreal Tournament 2004,"88,99 €",,https://sandbox.oxylabs.io/products/46
God of War II,"90,99 €",,https://sandbox.oxylabs.io/products/47
Super Mario 3D World,"89,99 €",,https://sandbox.oxylabs.io/products/48
Starcraft II: Wings of Liberty,"83,99 €",,https://sandbox.oxylabs.io/products/49
Minecraft,"80,99 €",,https://sandbox.oxylabs.io/products/50
Persona 4 Golden,"86,99 €",,https://sandbox.oxylabs.io/products/51
Persona 5,"87,99 €",,https://sandbox.oxylabs.io/products/52
Quake III Arena,"83,99 €",,https://sandbox.oxylabs.io/products/53
Homeworld,"88,99 €",,https://sandbox.oxylabs.io/products/54
Gears of War 2,"79,99 €",,https://sandbox.oxylabs.io/products/55
World Soccer Winning Eleven 6 International,"84,99 €",,https://sandbox.oxylabs.io/products/56
Skies of Arcadia,"88,99 €",,https://sandbox.oxylabs.io/products/57
The Legend of Zelda: Skyward Sword,"81,99 €",,https://sandbox.oxylabs.io/products/58
Mario Kart Super Circuit,"78,99 €",,https://sandbox.oxylabs.io/products/59
Test Drive Le Mans,"83,99 €",,https://sandbox.oxylabs.io/products/60
NBA 2K1,"72,99 €",,https://sandbox.oxylabs.io/products/61
Virtua Fighter 4: Evolution,"87,99 €",,https://sandbox.oxylabs.io/products/62
Uncharted 4: A Thief's End,"88,99 €",,https://sandbox.oxylabs.io/products/63
Super Smash Bros. Ultimate,"86,99 €",,https://sandbox.oxylabs.io/products/64
Paper Mario,"90,99 €",,https://sandbox.oxylabs.io/products/65
Wipeout XL,"86,99 €",,https://sandbox.oxylabs.io/products/66
World of Warcraft,"74,99 €",,https://sandbox.oxylabs.io/products/67
Flipnote Studio,"75,99 €",,https://sandbox.oxylabs.io/products/68
God of War III,"88,99 €",,https://sandbox.oxylabs.io/products/69
NHL 2002,"83,99 €",,https://sandbox.oxylabs.io/products/70
Uncharted 3: Drake's Deception,"84,99 €",,https://sandbox.oxylabs.io/products/71
Bloodborne,"88,99 €",,https://sandbox.oxylabs.io/products/72
Eternal Darkness: Sanity's Requiem,"87,99 €",,https://sandbox.oxylabs.io/products/73
Warcraft III: Reign of Chaos,"92,99 €",,https://sandbox.oxylabs.io/products/74
Sid Meier's Gettysburg!,"74,99 €",,https://sandbox.oxylabs.io/products/75
Forza Motorsport,"76,99 €",,https://sandbox.oxylabs.io/products/76
Advance Wars,"89,99 €",,https://sandbox.oxylabs.io/products/77
Vagrant Story,"90,99 €",,https://sandbox.oxylabs.io/products/78
Team Fortress 2,"90,99 €",,https://sandbox.oxylabs.io/products/79
System Shock 2,"91,99 €",,https://sandbox.oxylabs.io/products/80
Final Fantasy XII,"76,99 €",,https://sandbox.oxylabs.io/products/81
Super Mario World: Super Mario Advance 2,"90,99 €",,https://sandbox.oxylabs.io/products/82
Super Smash Bros. Melee,"91,99 €",,https://sandbox.oxylabs.io/products/83
Rome: Total War,"90,99 €",,https://sandbox.oxylabs.io/products/84
Forza Motorsport 3,"81,99 €",,https://sandbox.oxylabs.io/products/85
Super Mario Sunshine,"84,99 €",,https://sandbox.oxylabs.io/products/86
Tony Hawk's Pro Skater,"88,99 €",,https://sandbox.oxylabs.io/products/87
Thief: The Dark Project,"90,99 €",,https://sandbox.oxylabs.io/products/88
Fire Emblem: Awakening,"90,99 €",,https://sandbox.oxylabs.io/products/89
Age of Empires II: The Age of Kings,"91,99 €",,https://sandbox.oxylabs.io/products/90
Final Fantasy X,"89,99 €",,https://sandbox.oxylabs.io/products/91
Unreal Tournament (1999),"90,99 €",,https://sandbox.oxylabs.io/products/92
Sid Meier's Alpha Centauri,"88,99 €",,https://sandbox.oxylabs.io/products/93
Wave Race 64,"83,99 €",,https://sandbox.oxylabs.io/products/94
Galactic Civilizations II: Twilight of the Arnor,"82,99 €",,https://sandbox.oxylabs.io/products/95
Super Smash Bros. for Wii U,"89,99 €",,https://sandbox.oxylabs.io/products/96
Chrono Trigger,"91,99 €",,https://sandbox.oxylabs.io/products/97
Xenoblade Chronicles,"91,99 €",,https://sandbox.oxylabs.io/products/98
Conker's Bad Fur Day,"89,99 €",,https://sandbox.oxylabs.io/products/99
