Title,Company,Locations,Salaries,links,Descriptions
"Commercial Graduate Scheme, Junior Data Scientist - Dubai, UAE",Cobblestone Energy.,Lahore,Not Mentioned,https://pk.indeed.com/rc/clk?jk=ca8192549b9fa629&bb=Fxl1DnNyP-VogsARgpogqBxD1znj4XNS55HNMNQd-mLb9oyNWgcRxYn0_Nikctma7sygj-x_eOkOKsr-hy5wg1umpQdLHU5kMrViC3N-8IuueiYOUemeYWH6LNa8YruGSBLk3EedRCw3FW2Sh-SONMtbxmZdy04x&xkcb=SoAA67M3hOFCILzBGJ0LbzkdCdPP&fccid=150dba0a339b7e40&vjs=3,Not Available
Data Scientist,CodeNinja,Lahore,Not Mentioned,https://pk.indeed.com/rc/clk?jk=448f6ae5d8d5f688&bb=Fxl1DnNyP-VogsARgpogqOs_mNQLP6eiYWmMHQvL6TY-MJDvimK6IzMsAGHk1BTAzLfZaxT3Jy7H2hnuW61o8KYi_B36-dmqOdLgzRC45ojOAWFzszH1epbpr8Ib0DI8PtH8gM1mGnbFcEpD6PRGKgzG-Ycaxzt-&xkcb=SoC067M3hOFCILzBGJ0KbzkdCdPP&fccid=ba49624ec18c6c85&vjs=3,"About CodeNinja CodeNinja is a full-stack AI delivery company that helps enterprises, governments, and software acquirers build and operate intelligence-driven systems for mission-critical workflows. We specialize in deploying AI into real operations—combining strong engineering fundamentals with AI-native delivery to create measurable value, resilience, and long-term ownership for our clients. Our global footprint and delivery model are supported by AI Labs, AI Pods, and Global Capability Centers, enabling teams to co-engineer scalable platforms across regions and time zones. Role Overview We are seeking a Senior Data Scientist with 4+ years of experience to design, develop, and deploy advanced machine learning and forecasting solutions for high-impact business use cases. This role requires strong expertise in predictive analytics, time-series forecasting, statistical modeling, and the ability to translate complex business problems into scalable data-driven solutions. You will play a key role in building robust, interpretable, and production-ready models that support forecasting, optimization, risk analysis, and strategic decision-making across multiple domains. Requirements Machine Learning & Forecasting Design, develop, and deploy machine learning models for forecasting, prediction, and optimization use cases. Build and evaluate time-series forecasting solutions using statistical and machine learning approaches. Perform feature engineering including lag variables, rolling statistics, trend decomposition, seasonality analysis, and exogenous variable integration. Develop and benchmark models using techniques such as ARIMA, SARIMA, Prophet, XGBoost, Random Forest, Gradient Boosting, and Neural Networks. Conduct model validation, backtesting, and performance monitoring using appropriate evaluation metrics. Data Science & Analytics Analyze large and complex datasets to identify trends, anomalies, and business opportunities. Perform exploratory data analysis (EDA) and statistical investigations. Design experiments and evaluate model performance using sound statistical methodologies. Build business-focused insights and recommendations from analytical findings. Production & Deployment Collaborate with engineering teams to deploy machine learning solutions into production environments. Build scalable data pipelines and automated workflows. Implement model monitoring, drift detection, retraining strategies, and version control. Develop dashboards and reporting solutions using tools such as Power BI, Tableau, or Streamlit. Collaboration & Leadership Partner with business, product, and engineering stakeholders to define data-driven solutions. Communicate technical findings to both technical and non-technical audiences. Mentor junior team members and contribute to data science best practices. Participate in architecture discussions and support project delivery initiatives. Requirements 4+ years of hands-on experience in Data Science, Machine Learning, or Predictive Analytics. Strong experience with time-series forecasting and predictive modeling. Proficiency in Python and libraries such as Pandas, NumPy, Scikit-learn, and XGBoost. Experience with forecasting techniques such as ARIMA, SARIMA, Prophet, or similar methods. Strong understanding of statistics, hypothesis testing, feature engineering, and model evaluation. Experience with model validation, cross-validation, and performance metrics (MAPE, MAE, RMSE). Experience working with SQL and large-scale datasets. Familiarity with data pipelines, experimentation frameworks, and analytical environments such as Jupyter or Databricks. Strong communication skills with the ability to present technical insights to business stakeholders. Bachelor's or Master's degree in Computer Science, Data Science, Statistics, Mathematics, Engineering, or a related field. Preferred/Advance Skills Experience in multi-entity and multi-currency financial forecasting environments. Familiarity with cloud ML platforms (AWS SageMaker, Azure ML, GCP AI). Experience implementing CI/CD and MLOps frameworks. Exposure to probabilistic forecasting and Bayesian modeling approaches. Knowledge of financial regulations, treasury workflows, and corporate finance processes. Why Join Us Work on high-impact financial forecasting problems that directly influence strategic decision-making. Lead cutting-edge machine learning initiatives in a mission-critical environment. Collaborate with cross-functional leadership across finance, risk, and engineering. Opportunity to architect scalable ML systems from research to enterprise production. Be part of a culture that values innovation, ownership, and technical excellence. Equal Opportunity Statement We are an equal opportunity employer and are committed to fostering an inclusive, diverse, and equitable workplace. We do not discriminate based on race, religion, gender, age, disability, nationality, marital status, or any other protected characteristic under applicable law. We encourage candidates from all backgrounds to apply. Benefits Provident Fund Gym Membership Leaves as per the company policy Company-paid trips Easy Loan Facility for Employees Yearly increment Maternity Benefits (Leaves & WFH) Health Insurance (Maternity covered) – includes spouse and parents (till age 80)"
Data Scientist,Think Transportation,Karachi,Not Mentioned,https://pk.indeed.com/rc/clk?jk=08ee4a1b6c5db8fc&bb=Fxl1DnNyP-VogsARgpogqIyaHoXtKOk6dj82I1erJDFqQSopHSgOW3M7jbW4xLz2rZbrZtwr6ewBYlvooSXrPceIf5iO0g-cOkneiDzPL2Zo5NFZAZaS_Kbzj2qDWRHRAz11xfaAuI2nn4iF81LldJmo8c7ewVcY&xkcb=SoAp67M3hOFCILzBGJ0JbzkdCdPP&fccid=b0615d654b709229&vjs=3,"Don't wait for the right opportunity, Create One ! Think Transportation always encourages young innovative and energetic talent, if you find yourself challenging we would love to hear that... Requirement: Bachelors in Computer Science or Software Engineering. We are looking for a data scientist that will help us discover hidden information out of big data, and to help our clients in making smarter decision. Experience 2 +2 year Excellent understanding of ML techniques and algorithms. Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection. Ability to code or script in language such in Python, C++, R. Proficiency in at least one deep learning library: tensorflow(keras), pytorch, mxnet. Experience with a few data visualization tools, matplotlib, seaborn, plotly, d3js, etc. Proficiency in Database Management System. Working experience with source-code management systems such as Git/github/bitbucket. Proficiency in developing data pipelines. Data-Oriented personality. Great communication Skills. Apply Now"
Data Scientist,Soft Nation Technologies,Karachi Gulshan-E-Iqbal,Not Mentioned,https://pk.indeed.com/rc/clk?jk=c64935c860fe7eb9&bb=Fxl1DnNyP-VogsARgpogqKIXiXhMzzcVv5FZE04TVcWNEKcF_iGUKVqcqk-vs4Ofcqj_Xi16UuINyW0p49IcfacYwuIyDyZjx5glE_q4fw3IO2MPkxqiNJI6mb-S61CdHtf1erhyo9kfI3LitdwxXn_gc6YT3VXp&xkcb=SoCd67M3hOFCILzBGJ0IbzkdCdPP&fccid=93ea6baa8109e9c1&cmp=Soft-Nation-Technologies&ti=Data+Scientist&vjs=3,Not Available
"Data Scientist - Dubai, UAE",Cobblestone Energy.,Lahore,Not Mentioned,https://pk.indeed.com/rc/clk?jk=7fb2cef286f3c68f&bb=Fxl1DnNyP-VogsARgpogqHlsVN97NSKT6W-OL7uXELNjOJmjZp9QmAG_LcZNWF1nxHXuiMqgYotMvtS9lAZj9O24q3IiFHz_Nhb5pTG9QHNVRW89IrNuUS9ryQhGXyIMzIQEFbWHCyf2uPXDY-Qw4MGzLmbZ-sj9&xkcb=SoAT67M3hOFCILzBGJ0PbzkdCdPP&fccid=150dba0a339b7e40&vjs=3,"Employment Type: Full-time & Permanent Location: Dubai, UAE (Visa sponsorship and relocation assistance provided) Annual Base Salary: range of $80,000 - $110,000 per annum + performance-based bonus - 0% tax environment + opportunity to join our employee share scheme Annual Leave: 30 Calendar Days Public Holidays: As declared by UAE Government annually (8 to 14 days) Working Days: Monday – Friday Probation Period: 3 to 6 Months (As per UAE Labour Law) Health Insurance: Comprehensive Private Health Insurance (IPD, OPD & Dental) Residency Visa Sponsorship: Provided by the Company Relocation Support: Available for candidates relocating to Dubai End of Service Gratuity: As per UAE Labour Law About Cobblestone Energy Cobblestone Energy is an energy trading company specialising in the European Gas, Power and Emissions markets. Established in 2018, we combine deep analytics, advanced data science and agile technology to drive profitable trading decisions. Our flat organisational structure empowers every team member with autonomy and ownership. Our diverse global team of extraordinary talent is united by a relentless pursuit of excellence. Cobblestone Values Excellence in Hiring & Teamwork Lifelong Learning Through Continuous Reflection Independent Thinking Through a Meritocracy of Ideas Winning Role Description: We are seeking a highly motivated and talented Data Scientist to join our dynamic team. With a passion for data-driven solutions and a strong academic background, the successful candidate will play a critical role in shaping business decisions and driving operational excellence through advanced analytics, predictive modelling, and the strategic implementation of Generative AI/LLM technologies. What we offer in this role A full-time, high-impact position within our dynamic Commercial team. A team of exceptional colleagues, committed to continuous learning and pushing the boundaries of what's possible. A career that challenges you to solve complex problems and rewards your drive for continuous innovation. A unique opportunity to work on impactful projects, making independent decisions that drive real-world outcomes. The chance to take full ownership of new projects, making high-impact decisions in a dynamic environment. Equity participation, ensuring long-term alignment Key Responsibilities: Analyse large, complex datasets to generate actionable insights that inform trading and commercial decisions. Develop, deploy, and maintain predictive models to support market forecasting and trading strategy optimisation (e.g., time-series models, regression, tree-based methods). Architect and implement production-ready AI/LLM solutions, such as Retrieval-Augmented Generation (RAG) pipelines or task-specific agents, integrated programmatically into analytical workflows (e.g., via APIs, LangChain, LlamaIndex). Build, automate, and own end-to-end data workflows covering data ingestion, cleaning, feature generation, and model training, leveraging tools such as Python, SQL, Airflow, pandas, and workflow orchestration platforms (e.g., n8n or similar). Apply advanced data science techniques, including synthetic data generation where appropriate, to improve model robustness, scalability, and operational efficiency. Collaborate closely with traders and cross-functional stakeholders to translate business problems into high-quality, data-driven solutions. Communicate insights and model outputs clearly and concisely, ensuring analytical work drives measurable trading and commercial impact. Requirements: 2-3 years of experience in data science or a related field, with a demonstrated record of achieving exceptional results. Strong academic background in computer science, mathematics, statistics, or a related field Outstanding problem-solving and critical thinking skills, capable of addressing complex, high-impact challenges. Expertise in Python programming, with an ability to apply it to advanced data science problems. Applied AI Proficiency: Demonstrated practical experience programmatically integrating LLMs (via APIs or frameworks like LangChain/LlamaIndex) into data pipelines or analytical applications. Automation Focus: Proven ability to design and implement automated, end-to-end data workflows that leverage AI for efficiency gains. Knowledge of machine learning algorithms and data visualization tools Exceptional communication and collaboration skills, with a demonstrated ability to excel in fast-paced, cross-functional environments This is an outstanding opportunity for a driven and talented Data Scientist to join an innovative trading company and make a significant impact on our business operations. If you possess a passion for data science and a proven track record of success, we encourage you to apply. Note: Experience in the power trading domain is highly desirable but not essential. We value exceptional talent and the ability to learn quickly. Learn more about Cobblestone Energy careers: https://cobblestoneenergy.com/careers/ Why work with us: https://cobblestoneenergy.com/why-work-with-us/ Recruitment process: https://cobblestoneenergy.com/careers/vacancies/#process"
Data Scientist,Human Capital HR Solutions,Karachi,Not Mentioned,https://pk.indeed.com/rc/clk?jk=3f8e11939163d9b8&bb=Fxl1DnNyP-VogsARgpogqHlsVN97NSKTxJre0dq7NTUR5Z_u9F-Y-ugA2TNYgtkNpWG7_9ce-VmBKYh0bfqnlZ9DdGNZ52gksvT8kxmZmJ5VL8DTD-o3THEF4VdQ_zDpBuOzp6qYooL44Zg1QztdAtmyufTez6IE&xkcb=SoCn67M3hOFCILzBGJ0ObzkdCdPP&fccid=2aa831d2875fb591&cmp=Human-Capital-HR-Solutions&ti=Data+Scientist&vjs=3,"WE ARE HIRING! Data Scientist Location: Karachi Industry: Technology / Data Analytics Job Summary: Human Capital HR Solutions is hiring Data Scientists for a growing technology-driven organization. The ideal candidate will be responsible for transforming complex data into actionable insights, developing analytical solutions, building reporting tools, and supporting data-driven business decisions. Key Responsibilities: * Develop and maintain production-level Python code for data science applications * Design, execute, and analyze experiments to optimize business performance and campaigns * Build reporting dashboards and analytics tools for internal and external stakeholders * Extract actionable insights from large datasets and communicate findings effectively * Collaborate with cross-functional teams to translate business requirements into data solutions * Support the development and enhancement of data science products and analytics frameworks Requirements: * Bachelor's or Master's degree in Data Science, Computer Science, Statistics, Mathematics, or a related field * Strong proficiency in Python and production-level coding practices * Solid understanding of Statistics, Machine Learning, and Data Analytics concepts * Experience developing reporting, analytics, and business intelligence solutions * Strong communication and stakeholder management skills * Experience with Big Data technologies such as Apache Spark, Apache Beam, Scala, and AWS is preferred * Knowledge of AdTech, CTV, or AWS Athena is a plus * Ability to thrive in a fast-paced, collaborative, and growth-oriented environment Apply Now: Send your CV to: careers1.hc@gmail.com Subject Line: Data Scientist Work Location: In person"
Data Scientist / Student Project Mentor,Fortray Global Services Ltd,Lahore,Not Mentioned,https://pk.indeed.com/rc/clk?jk=6992461cd3faa2f6&bb=Fxl1DnNyP-VogsARgpogqA0cadyyTgTfiqLajddA3aU59EajfUV6F6d-N_i_UMGsF-rd5r70-E2HEdyC_YYcX6_jT8m_E_gxa0fUiSodvmsLlTmDhDKenRCY0NIb_rq8jJLaCFJYZKxglvFf6chg6s80aTKFvTFp&xkcb=SoA667M3hOFCILzBGJ0NbzkdCdPP&fccid=b101dae6cc09dc2a&vjs=3,"Job Description About Us: With over two decades of expertise, Fortray excels in IT Recruitment, Training, and Services. As IT Recruiters, we connect top talent with global opportunities in the digital technology sector, offering contract, temporary, and permanent placements across various industries, roles, salaries, and locations. Our specialized teams ensure your recruitment or job search benefits from seasoned experts who deeply understand your sector. Fortray is also a global online boot camp, helping career changers gain vital digital skills in just four weeks, opening doors to lucrative tech careers. Our rigorous curriculum covers cybersecurity, Cloud computing, Data analytics, Coding, Project Management, DevOps, AI/ML, and more. Practical, hands-on learning and mentorship from industry experts result in a remarkable 95% placement rate. With over 1,000 monthly live classes, real-world projects, and extensive resources, Fortray stands out. Our mentorship program, flexible schedules, and 1:1 career coaching guide your success. Join 1,000+ satisfied graduates on their journey to tech careers through Fortray. Additionally, as a Managed Service Provider (MSP), we offer global managed IT services, including cybersecurity, cloud solutions, and IT consultancy, tailored to businesses of all sizes, emphasizing user centricity from consultation to ongoing support, ensuring seamless technology operations. Purpose of the Job – Overview Job Title: Data Scientist / Student Mentor Location: Fully Remote Must have a 2 to 3 Hours Backup, 22 to 24” Monitor with HDMI Cable, Table, Chair and Quite place to work. Timings: Monday to Friday: 9 AM to 6 PM BST Saturday: 10 AM to 3 PM BST About the Role Key Responsibilities: Mentor and guide students on their data science, machine learning, and analytics projects. Provide expert advice on project planning, data collection, cleaning, analysis, and model development. Review and provide feedback on code, reports, presentations, and visualizations. Assist students in choosing appropriate methodologies, tools, and frameworks based on project goals. Conduct regular one-on-one or group sessions to resolve doubts and provide direction. Stay up-to-date with academic and industry trends in data science and integrate relevant practices into mentorship. Maintain documentation of project support activities and student progress Analyze large and complex datasets to extract actionable insights. Build, evaluate, and deploy machine learning models for classification, regression, clustering, and recommendation systems. Develop and maintain data pipelines and automated reporting systems. Collaborate with stakeholders to define problems, design experiments, and interpret results. Communicate findings and recommendations through data visualizations, dashboards, and presentations. Requirements: Bachelor’s or Master’s degree in Data Science, Computer Science, Statistics, or a related field. Proven experience with Python, R, SQL, and relevant data science libraries Experience with data visualization tools such as Tableau, Power BI Strong understanding of machine learning algorithms, statistical analysis, and data preprocessing techniques. Excellent communication and interpersonal skills, with a passion for teaching and mentoring. Prior experience in academic support, tutoring, or educational content creation is a plus."
Data Scientist / Student Project Mentor,Fortray Global Services Ltd,Lahore,Not Mentioned,https://pk.indeed.com/viewjob?jk=456789abcdef0123,Not Available
DATA SCIENTIST,Tata Consultancy Services,Hyderabad,Not Mentioned,https://pk.indeed.com/rc/clk?jk=2d3e90d55aa3829d&bb=Fxl1DnNyP-VogsARgpogqNHMcVgmwgHO_-sy7GvQCWlOopREV7Jdnqt90XBXa1QdaSuqhOgegDkB5RrxyJIlK3VdJ3mdgkyqHds2eKzms6TnfugYOJgFWCZVKWxMzmHqcZCKYpwQQUjdXX1p0969SQ%3D%3D&xkcb=SoCO67M3hOFCILzBGJ0MbzkdCdPP&fccid=d9b9208177142548&vjs=3,Not Available
Associate Data Engineer,Symufolk,Lahore,Not Mentioned,https://pk.indeed.com/rc/clk?jk=0d8f55e8d9774290&bb=Fxl1DnNyP-VogsARgpogqJsU1Xsk7XQkmj6AX7cG9Hhg-VcNaxgl_ok9YS7oxPo07P5CkWNvStoFkYlCKkj8Z8ZQs_knEBRUfCUtNFmQTxv9snXo1BrHXxyV23gJhtrvkVuJ6vn4Uxg5BpC49imlJUlWkOButcKo&xkcb=SoBn67M3hOFCILzBGJ0DbzkdCdPP&fccid=a8f1bd9a283e2ce0&cmp=Binary-Brix&ti=Data+Engineer&vjs=3,"Associate Data Engineer Location: Lahore, Onsite Job Type: Full-Time Experience: 1 to 3 Company: Symufolk Job Overview We are looking for an Associate Data Engineer to join our data team and support the development, maintenance, and optimization of scalable data pipelines. The ideal candidate should have a strong foundation in Python, SQL, and data engineering concepts with an interest in building modern data solutions. Responsibilities Build and maintain ETL/ELT data pipelines using Python, SQL, and Spark/PySpark Ingest, transform, and process data from multiple sources including APIs, databases, and cloud storage Work with modern data platforms including Databricks, Snowflake, and cloud-based data warehouses Develop reliable data workflows and ensure data quality and accuracy Monitor, troubleshoot, and debug data pipelines Optimize queries and workflows for better performance and cost efficiency Collaborate with Data Analysts, Data Scientists, and Engineering teams to deliver business solutions Required Skills Strong understanding of Python and SQL Basic hands-on experience with Spark/PySpark Knowledge of ETL/ELT concepts and data pipeline development Understanding of databases and data warehouse concepts Familiarity with cloud platforms (AWS/Azure/GCP) is a plus Good problem-solving and analytical skills Qualification Bachelor’s degree in Computer Science, Software Engineering, Data Science, IT, or a related field Experience 1–3 years of experience in Data Engineering or related roles Pay: Rs80,000.00 - Rs150,000.00 per month Work Location: In person"
